,0
166,002050.SZ
167,301006.SZ
168,600903.SH
169,301309.SZ
170,600487.SH
171,002154.SZ
172,002601.SZ
173,600850.SH
174,601933.SH
175,688097.SH
176,688403.SH
177,002068.SZ
178,002705.SZ
179,601818.SH
180,603138.SH
181,000400.SZ
182,603019.SH
183,002747.SZ
184,600020.SH
185,000623.SZ
186,002238.SZ
187,300834.SZ
188,603283.SH
189,601038.SH
190,600518.SH
191,688018.SH
192,688668.SH
193,300054.SZ
194,300212.SZ
195,002146.SZ
196,002256.SZ
197,300899.SZ
198,688008.SH
199,002283.SZ
200,605208.SH
201,600760.SH
202,688037.SH
203,002737.SZ
204,002911.SZ
205,300976.SZ
206,603328.SH
207,300598.SZ
208,002430.SZ
209,301002.SZ
210,002185.SZ
211,301223.SZ
212,000999.SZ
213,000423.SZ
214,600100.SH
215,002081.SZ
216,002529.SZ
217,300363.SZ
218,600584.SH
219,603078.SH
220,002701.SZ
221,688011.SH
222,688499.SH
223,688318.SH
224,601158.SH
225,000525.SZ
226,002997.SZ
227,002957.SZ
228,000498.SZ
229,002085.SZ
230,601108.SH
231,600941.SH
232,002932.SZ
233,600038.SH
234,300978.SZ
235,688188.SH
236,600418.SH
237,002695.SZ
238,002859.SZ
239,688296.SH
240,600645.SH
241,601949.SH
242,002544.SZ
243,300278.SZ
244,601099.SH
245,301359.SZ
246,000519.SZ
247,000636.SZ
248,688091.SH
249,002547.SZ
250,000006.SZ
251,301171.SZ
252,300088.SZ
253,300601.SZ
254,002269.SZ
255,002863.SZ
256,002142.SZ
257,300299.SZ
258,601991.SH
259,001286.SZ
260,000983.SZ
261,300747.SZ
262,600662.SH
263,600657.SH
264,002003.SZ
265,000598.SZ
266,002555.SZ
267,603663.SH
268,688287.SH
269,300257.SZ
270,600569.SH
271,002032.SZ
272,300463.SZ
273,601377.SH
274,002009.SZ
275,600188.SH
276,000930.SZ
277,600718.SH
278,301009.SZ
279,002837.SZ
280,000928.SZ
281,300042.SZ
282,688646.SH
283,301301.SZ
284,300233.SZ
285,688216.SH
286,002959.SZ
287,000680.SZ
288,301103.SZ
289,603323.SH
290,002383.SZ
291,301128.SZ
292,600428.SH
293,300623.SZ
294,300984.SZ
295,301269.SZ
296,600161.SH
297,600163.SH
298,600993.SH
299,301306.SZ
300,300414.SZ
301,600483.SH
302,688383.SH
303,300876.SZ
304,001979.SZ
305,688059.SH
306,688570.SH
307,300905.SZ
308,300495.SZ
309,688023.SH
310,003021.SZ
311,002400.SZ
312,300994.SZ
313,600496.SH
314,002727.SZ
315,301379.SZ
316,002252.SZ
317,600612.SH
318,300955.SZ
319,601665.SH
320,000676.SZ
321,000996.SZ
322,002426.SZ
323,002532.SZ
324,301017.SZ
325,601162.SH
326,603489.SH
327,601398.SH
328,600143.SH
329,002370.SZ
330,600399.SH
331,301419.SZ
332,002353.SZ
333,688309.SH
334,600616.SH
335,600820.SH
336,002558.SZ
337,601928.SH
338,603507.SH
339,603300.SH
340,300457.SZ
341,600601.SH
342,603882.SH
343,000735.SZ
344,002047.SZ
345,300358.SZ
346,600106.SH
347,688777.SH
348,300953.SZ
349,002191.SZ
350,002369.SZ
351,301230.SZ
352,301361.SZ
353,688236.SH
354,300454.SZ
355,000589.SZ
356,300202.SZ
357,688550.SH
358,002783.SZ
359,300131.SZ
360,002414.SZ
361,601168.SH
362,600359.SH
363,688623.SH
364,000750.SZ
365,002920.SZ
366,300091.SZ
367,000931.SZ
368,301310.SZ
369,688005.SH
370,688698.SH
371,300139.SZ
372,300300.SZ
373,600810.SH
374,600435.SH
375,600502.SH
376,300319.SZ
377,002683.SZ
378,002204.SZ
379,600373.SH
380,300861.SZ
381,600072.SH
382,600704.SH
383,002791.SZ
384,601696.SH
385,002036.SZ
386,300260.SZ
387,601216.SH
388,301110.SZ
389,300005.SZ
390,300685.SZ
391,300951.SZ
392,301234.SZ
393,601001.SH
394,000061.SZ
395,688128.SH
396,002909.SZ
397,600056.SH
398,603039.SH
399,300911.SZ
400,688312.SH
401,002903.SZ
402,301030.SZ
403,601628.SH
404,002596.SZ
405,603696.SH
406,600637.SH
407,300002.SZ
408,603816.SH
409,600611.SH
410,600716.SH
411,301148.SZ
412,301130.SZ
413,688579.SH
414,301299.SZ
415,600325.SH
416,688680.SH
417,002885.SZ
418,000831.SZ
419,000420.SZ
420,600348.SH
421,300975.SZ
422,600620.SH
423,000158.SZ
424,300870.SZ
425,600368.SH
426,600619.SH
427,300320.SZ
428,688277.SH
429,000541.SZ
430,600751.SH
431,601600.SH
432,601577.SH
433,000546.SZ
434,000812.SZ
435,002138.SZ
436,002895.SZ
437,003035.SZ
438,300014.SZ
439,600094.SH
440,301047.SZ
441,600135.SH
442,000533.SZ
443,301121.SZ
444,603008.SH
445,300409.SZ
446,688099.SH
447,688178.SH
448,600996.SH
449,300065.SZ
450,002028.SZ
451,000059.SZ
452,002641.SZ
453,002007.SZ
454,002939.SZ
455,688230.SH
456,601998.SH
457,603369.SH
458,688163.SH
459,688172.SH
460,002460.SZ
461,600186.SH
462,000725.SZ
463,601179.SH
464,002242.SZ
465,002541.SZ
466,688678.SH
467,300133.SZ
468,000401.SZ
469,301082.SZ
470,000791.SZ
471,002013.SZ
472,688368.SH
473,301149.SZ
474,002739.SZ
475,301202.SZ
476,603105.SH
477,601009.SH
478,000600.SZ
479,002452.SZ
480,300883.SZ
481,603605.SH
482,603045.SH
483,600575.SH
484,301239.SZ
485,000811.SZ
486,300129.SZ
487,603733.SH
488,000001.SZ
489,600209.SH
490,300505.SZ
491,002006.SZ
492,301187.SZ
493,300115.SZ
494,603393.SH
495,600071.SH
496,600802.SH
497,300343.SZ
498,002298.SZ
499,688290.SH
500,002657.SZ
501,301212.SZ
502,300803.SZ
503,002936.SZ
504,300940.SZ
505,300986.SZ
506,301238.SZ
507,301235.SZ
508,601268.SH
509,603602.SH
510,000418.SZ
511,600639.SH
512,603179.SH
513,688187.SH
514,688272.SH
515,688516.SH
516,000035.SZ
517,000301.SZ
518,600236.SH
519,600581.SH
520,688088.SH
521,688223.SH
522,688171.SH
523,300077.SZ
524,600879.SH
525,002631.SZ
526,300019.SZ
527,688239.SH
528,002258.SZ
529,688197.SH
530,688410.SH
531,000982.SZ
532,002129.SZ
533,600375.SH
534,301157.SZ
535,600026.SH
536,002445.SZ
537,000426.SZ
538,000875.SZ
539,002019.SZ
540,600218.SH
541,600976.SH
542,603997.SH
543,002455.SZ
544,301179.SZ
545,002505.SZ
546,600350.SH
547,688251.SH
548,300567.SZ
549,688371.SH
550,300073.SZ
551,002217.SZ
552,600987.SH
553,002202.SZ
554,301086.SZ
555,600543.SH
556,600322.SH
557,600035.SH
558,300232.SZ
559,300820.SZ
560,000090.SZ
561,603777.SH
562,600259.SH
563,601016.SH
564,600266.SH
565,301088.SZ
566,301011.SZ
567,002304.SZ
568,301307.SZ
569,600596.SH
570,603915.SH
571,002860.SZ
572,600278.SH
573,601065.SH
574,002847.SZ
575,300973.SZ
576,301096.SZ
577,300033.SZ
578,600184.SH
579,600145.SH
580,603083.SH
581,301216.SZ
582,002080.SZ
583,603399.SH
584,002520.SZ
585,300907.SZ
586,601816.SH
587,601615.SH
588,300101.SZ
589,002135.SZ
590,688267.SH
591,688506.SH
592,600780.SH
593,301277.SZ
594,603126.SH
595,300657.SZ
596,600855.SH
597,301008.SZ
598,600548.SH
599,002041.SZ
600,688100.SH
601,301365.SZ
602,002192.SZ
603,688090.SH
604,688210.SH
605,688511.SH
606,603113.SH
607,603803.SH
608,301367.SZ
609,301029.SZ
610,002091.SZ
611,300726.SZ
612,301072.SZ
613,002310.SZ
614,688213.SH
615,301261.SZ
616,300123.SZ
617,603195.SH
618,300618.SZ
619,000031.SZ
620,301305.SZ
621,002501.SZ
622,300342.SZ
623,002405.SZ
624,601066.SH
625,001289.SZ
626,002782.SZ
627,301027.SZ
628,301232.SZ
629,600410.SH
630,603070.SH
631,688117.SH
632,688382.SH
633,002626.SZ
634,301188.SZ
635,600894.SH
636,601588.SH
637,002221.SZ
638,301257.SZ
639,600510.SH
640,002958.SZ
641,600446.SH
642,300900.SZ
643,300116.SZ
644,600028.SH
645,600108.SH
646,301135.SZ
647,600432.SH
648,300672.SZ
649,000410.SZ
650,000788.SZ
651,301456.SZ
652,301276.SZ
653,600598.SH
654,000415.SZ
655,002490.SZ
656,300972.SZ
657,000066.SZ
658,601608.SH
659,600649.SH
660,000926.SZ
661,002537.SZ
662,000159.SZ
663,002738.SZ
664,300379.SZ
665,300393.SZ
666,600771.SH
667,600221.SH
668,600329.SH
669,688626.SH
670,300966.SZ
671,688595.SH
672,000562.SZ
673,300612.SZ
674,000538.SZ
675,300031.SZ
676,002461.SZ
677,600567.SH
678,000829.SZ
679,300189.SZ
680,002233.SZ
681,600604.SH
682,688350.SH
683,300261.SZ
684,300888.SZ
685,688521.SH
686,002507.SZ
687,000902.SZ
688,601886.SH
689,300256.SZ
690,688305.SH
691,688381.SH
692,688793.SH
693,002733.SZ
694,002966.SZ
695,301226.SZ
696,300634.SZ
697,301518.SZ
698,688536.SH
699,600198.SH
700,301439.SZ
701,600893.SH
702,300413.SZ
703,300052.SZ
704,002070.SZ
705,002176.SZ
706,300041.SZ
707,603010.SH
708,688115.SH
709,600759.SH
710,600276.SH
711,002386.SZ
712,301318.SZ
713,605366.SH
714,600901.SH
715,000627.SZ
716,002617.SZ
717,002549.SZ
718,000042.SZ
719,688229.SH
720,002410.SZ
721,601299.SH
722,600837.SH
723,301005.SZ
724,002267.SZ
725,002015.SZ
726,002454.SZ
727,301278.SZ
728,000408.SZ
729,600818.SH
730,300079.SZ
731,600732.SH
732,002155.SZ
733,600545.SH
734,688098.SH
735,000665.SZ
736,688425.SH
737,301087.SZ
738,002069.SZ
739,300475.SZ
740,600326.SH
741,688095.SH
742,002079.SZ
743,600068.SH
744,002595.SZ
745,600273.SH
746,002579.SZ
747,300502.SZ
748,301127.SZ
749,688475.SH
750,688602.SH
751,300443.SZ
752,603899.SH
753,300479.SZ
754,002128.SZ
755,688981.SH
756,003031.SZ
757,601228.SH
758,002689.SZ
759,688567.SH
760,301113.SZ
761,601865.SH
762,688616.SH
763,600169.SH
764,300245.SZ
765,603015.SH
766,002132.SZ
767,300566.SZ
768,600684.SH
769,688016.SH
770,301182.SZ
771,000151.SZ
772,600176.SH
773,601916.SH
774,301488.SZ
775,601939.SH
776,300208.SZ
777,600191.SH
778,002039.SZ
779,002112.SZ
780,603198.SH
781,300194.SZ
782,601997.SH
783,600433.SH
784,600677.SH
785,688186.SH
786,000043.SZ
787,300487.SZ
788,301317.SZ
789,600299.SH
790,300981.SZ
791,301169.SZ
792,603800.SH
793,002493.SZ
794,002438.SZ
795,300832.SZ
796,301057.SZ
797,688035.SH
798,688699.SH
799,300378.SZ
800,301260.SZ
801,000099.SZ
802,301172.SZ
803,301281.SZ
804,002556.SZ
805,600827.SH
806,601058.SH
807,000065.SZ
808,603688.SH
809,000567.SZ
810,300774.SZ
811,600459.SH
812,688157.SH
813,600378.SH
814,600737.SH
815,600906.SH
816,000709.SZ
817,002061.SZ
818,600919.SH
819,002071.SZ
820,000848.SZ
821,601019.SH
822,600838.SH
823,688485.SH
824,603218.SH
825,688613.SH
826,301077.SZ
827,301136.SZ
828,300429.SZ
829,603963.SH
830,688659.SH
831,301368.SZ
832,002444.SZ
833,601169.SH
834,000560.SZ
835,301356.SZ
836,600467.SH
837,600532.SH
838,688297.SH
839,688067.SH
840,688398.SH
841,688073.SH
842,600918.SH
843,688302.SH
844,301217.SZ
845,301270.SZ
846,688070.SH
847,688408.SH
848,300296.SZ
849,301105.SZ
850,002810.SZ
851,300078.SZ
852,600536.SH
853,600763.SH
854,002807.SZ
855,300144.SZ
856,600703.SH
857,600340.SH
858,688551.SH
859,688166.SH
860,301109.SZ
861,600572.SH
862,002201.SZ
863,001324.SZ
864,605358.SH
865,600641.SH
866,600470.SH
867,688585.SH
868,002004.SZ
869,300203.SZ
870,600626.SH
871,600420.SH
872,603866.SH
873,002703.SZ
874,002821.SZ
875,605499.SH
876,600146.SH
877,300881.SZ
878,300183.SZ
879,301308.SZ
880,600157.SH
881,600795.SH
882,002892.SZ
883,600305.SH
884,000903.SZ
885,600599.SH
886,603416.SH
887,300893.SZ
888,301063.SZ
889,603708.SH
890,600104.SH
891,688125.SH
892,002796.SZ
893,300909.SZ
894,301312.SZ
895,002745.SZ
896,601918.SH
897,300693.SZ
898,002583.SZ
899,300074.SZ
900,601519.SH
901,600076.SH
902,002270.SZ
903,002906.SZ
904,600916.SH
905,002563.SZ
906,301033.SZ
907,002709.SZ
908,688007.SH
909,600392.SH
910,000069.SZ
911,000413.SZ
912,002773.SZ
913,000685.SZ
914,600246.SH
915,600618.SH
916,688321.SH
917,600260.SH
918,600039.SH
919,600516.SH
920,002373.SZ
921,002650.SZ
922,000917.SZ
923,688003.SH
924,300918.SZ
925,300205.SZ
926,300890.SZ
927,301255.SZ
928,600268.SH
929,688323.SH
930,301166.SZ
931,601113.SH
932,300762.SZ
933,002385.SZ
934,000932.SZ
935,300825.SZ
936,688498.SH
937,301195.SZ
938,600093.SH
939,601995.SH
940,000545.SZ
941,600908.SH
942,002235.SZ
943,600674.SH
944,002005.SZ
945,300228.SZ
946,301061.SZ
947,300170.SZ
948,000961.SZ
949,000506.SZ
950,002232.SZ
951,603363.SH
952,688083.SH
953,301139.SZ
954,300122.SZ
955,603636.SH
956,688246.SH
957,688459.SH
958,600825.SH
959,002171.SZ
960,000737.SZ
961,300450.SZ
962,300949.SZ
963,000922.SZ
964,000040.SZ
965,002139.SZ
966,301160.SZ
967,300316.SZ
968,688617.SH
969,600499.SH
970,688359.SH
971,603718.SH
972,300337.SZ
973,301129.SZ
974,002161.SZ
975,300118.SZ
976,688192.SH
977,002424.SZ
978,600609.SH
979,601878.SH
980,002429.SZ
981,603197.SH
982,002985.SZ
983,688338.SH
984,600643.SH
985,600808.SH
986,600376.SH
987,002246.SZ
988,603396.SH
989,600088.SH
990,300171.SZ
991,300882.SZ
992,301358.SZ
993,000029.SZ
994,688520.SH
995,688010.SH
996,688112.SH
997,600078.SH
998,002623.SZ
999,600282.SH
1000,000937.SZ
1001,002568.SZ
1002,688053.SH
1003,600550.SH
1004,600201.SH
1005,000969.SZ
1006,600909.SH
1007,603103.SH
1008,300223.SZ
1009,002667.SZ
1010,300527.SZ
1011,000938.SZ
1012,301025.SZ
1013,301211.SZ
1014,301378.SZ
1015,301120.SZ
1016,002437.SZ
1017,688788.SH
1018,000893.SZ
1019,301446.SZ
1020,002938.SZ
1021,600805.SH
1022,603027.SH
1023,600425.SH
1024,000913.SZ
1025,300915.SZ
1026,002812.SZ
1027,300770.SZ
1028,300759.SZ
1029,300901.SZ
1030,688334.SH
1031,300887.SZ
1032,002148.SZ
1033,600058.SH
1034,603279.SH
1035,002912.SZ
1036,300397.SZ
1037,300038.SZ
1038,600580.SH
1039,301233.SZ
1040,000652.SZ
1041,603712.SH
1042,002561.SZ
1043,301366.SZ
1044,688082.SH
1045,688126.SH
1046,600207.SH
1047,688392.SH
1048,688158.SH
1049,002358.SZ
1050,002412.SZ
1051,301019.SZ
1052,601003.SH
1053,002585.SZ
1054,601901.SH
1055,688539.SH
1056,002567.SZ
1057,301229.SZ
1058,002273.SZ
1059,301021.SZ
1060,300366.SZ
1061,600770.SH
1062,600707.SH
1063,002195.SZ
1064,300745.SZ
1065,603055.SH
1066,603051.SH
1067,002210.SZ
1068,301209.SZ
1069,600495.SH
1070,301337.SZ
1071,300007.SZ
1072,601012.SH
1073,603018.SH
1074,002594.SZ
1075,000516.SZ
1076,002285.SZ
1077,000838.SZ
1078,002636.SZ
1079,600809.SH
1080,301161.SZ
1081,301448.SZ
1082,603119.SH
1083,600733.SH
1084,301205.SZ
1085,688080.SH
1086,688286.SH
1087,603125.SH
1088,688102.SH
1089,000025.SZ
1090,002612.SZ
1091,600004.SH
1092,688028.SH
1093,688518.SH
1094,600783.SH
1095,002131.SZ
1096,000402.SZ
1097,688419.SH
1098,300769.SZ
1099,688328.SH
1100,000758.SZ
1101,301227.SZ
1102,300653.SZ
1103,600876.SH
1104,688320.SH
1105,688722.SH
1106,600559.SH
1107,600764.SH
1108,301280.SZ
1109,002104.SZ
1110,301289.SZ
1111,601688.SH
1112,300099.SZ
1113,000626.SZ
1114,600222.SH
1115,688607.SH
1116,688611.SH
1117,000681.SZ
1118,300066.SZ
1119,688295.SH
1120,002624.SZ
1121,000060.SZ
1122,002300.SZ
1123,300498.SZ
1124,301360.SZ
1125,301519.SZ
1126,688630.SH
1127,603317.SH
1128,002354.SZ
1129,300026.SZ
1130,603920.SH
1131,300451.SZ
1132,300395.SZ
1133,301246.SZ
1134,002697.SZ
1135,002534.SZ
1136,300741.SZ
1137,000559.SZ
1138,603305.SH
1139,002630.SZ
1140,301112.SZ
1141,600740.SH
1142,002301.SZ
1143,000973.SZ
1144,600090.SH
1145,603713.SH
1146,600048.SH
1147,301499.SZ
1148,603137.SH
1149,688130.SH
1150,600511.SH
1151,603707.SH
1152,000799.SZ
1153,000966.SZ
1154,600624.SH
1155,601139.SH
1156,301353.SZ
1157,002382.SZ
1158,688252.SH
1159,688180.SH
1160,600597.SH
1161,300960.SZ
1162,300943.SZ
1163,002180.SZ
1164,002229.SZ
1165,002523.SZ
1166,300012.SZ
1167,003039.SZ
1168,300302.SZ
1169,300352.SZ
1170,300942.SZ
1171,301236.SZ
1172,301377.SZ
1173,600766.SH
1174,688118.SH
1175,603025.SH
1176,301370.SZ
1177,000802.SZ
1178,600031.SH
1179,301237.SZ
1180,688275.SH
1181,688001.SH
1182,688292.SH
1183,688159.SH
1184,601872.SH
1185,688766.SH
1186,600162.SH
1187,600745.SH
1188,600681.SH
1189,600765.SH
1190,601825.SH
1191,301031.SZ
1192,300912.SZ
1193,688376.SH
1194,002901.SZ
1195,603588.SH
1196,301066.SZ
1197,601311.SH
1198,002960.SZ
1199,000338.SZ
1200,601136.SH
1201,002025.SZ
1202,300967.SZ
1203,688150.SH
1204,300866.SZ
1205,688061.SH
1206,603626.SH
1207,002401.SZ
1208,300964.SZ
1209,603883.SH
1210,600877.SH
1211,000100.SZ
1212,300348.SZ
1213,301010.SZ
1214,601988.SH
1215,600600.SH
1216,603129.SH
1217,600077.SH
1218,002169.SZ
1219,688139.SH
1220,000596.SZ
1221,000555.SZ
1222,688212.SH
1223,688562.SH
1224,000039.SZ
1225,601689.SH
1226,000921.SZ
1227,600006.SH
1228,603885.SH
1229,600229.SH
1230,300174.SZ
1231,600523.SH
1232,300406.SZ
1233,600409.SH
1234,301018.SZ
1235,300081.SZ
1236,601698.SH
1237,000950.SZ
1238,600708.SH
1239,688343.SH
1240,301038.SZ
1241,601238.SH
1242,688628.SH
1243,301338.SZ
1244,600938.SH
1245,300682.SZ
1246,301219.SZ
1247,600320.SH
1248,600237.SH
1249,000733.SZ
1250,600271.SH
1251,688184.SH
1252,300750.SZ
1253,601952.SH
1254,601138.SH
1255,603297.SH
1256,300992.SZ
1257,600705.SH
1258,300916.SZ
1259,688122.SH
1260,603936.SH
1261,002026.SZ
1262,301259.SZ
1263,300022.SZ
1264,300868.SZ
1265,002475.SZ
1266,000719.SZ
1267,300963.SZ
1268,601718.SH
1269,300776.SZ
1270,301486.SZ
1271,301371.SZ
1272,300873.SZ
1273,300326.SZ
1274,600303.SH
1275,002843.SZ
1276,002389.SZ
1277,301319.SZ
1278,601111.SH
1279,688685.SH
1280,688268.SH
1281,688136.SH
1282,688508.SH
1283,300327.SZ
1284,601226.SH
1285,300134.SZ
1286,000517.SZ
1287,688193.SH
1288,688329.SH
1289,688012.SH
1290,300285.SZ
1291,601028.SH
1292,688443.SH
1293,688737.SH
1294,000708.SZ
1295,300993.SZ
1296,600208.SH
1297,300367.SZ
1298,603260.SH
1299,000581.SZ
1300,603167.SH
1301,002043.SZ
1302,002141.SZ
1303,000883.SZ
1304,301015.SZ
1305,603959.SH
1306,000878.SZ
1307,600405.SH
1308,300273.SZ
1309,300938.SZ
1310,603085.SH
1311,300931.SZ
1312,301095.SZ
1313,600008.SH
1314,002415.SZ
1315,000800.SZ
1316,002665.SZ
1317,603318.SH
1318,600390.SH
1319,600617.SH
1320,300251.SZ
1321,601866.SH
1322,301256.SZ
1323,002367.SZ
1324,000858.SZ
1325,000756.SZ
1326,600869.SH
1327,603737.SH
1328,301156.SZ
1329,601360.SH
1330,002716.SZ
1331,301122.SZ
1332,300059.SZ
1333,600521.SH
1334,002474.SZ
1335,300298.SZ
1336,002325.SZ
1337,600789.SH
1338,688533.SH
1339,688004.SH
1340,603227.SH
1341,000762.SZ
1342,300287.SZ
1343,300889.SZ
1344,000885.SZ
1345,688362.SH
1346,603639.SH
1347,688086.SH
1348,601225.SH
1349,002478.SZ
1350,300997.SZ
1351,000726.SZ
1352,300226.SZ
1353,301099.SZ
1354,600400.SH
1355,603185.SH
1356,001270.SZ
1357,002548.SZ
1358,601899.SH
1359,605168.SH
1360,002151.SZ
1361,300913.SZ
1362,600570.SH
1363,300130.SZ
1364,601985.SH
1365,688248.SH
1366,300844.SZ
1367,002965.SZ
1368,000530.SZ
1369,002027.SZ
1370,300055.SZ
1371,688351.SH
1372,000852.SZ
1373,688385.SH
1374,601799.SH
1375,688190.SH
1376,300104.SZ
1377,603538.SH
1378,300648.SZ
1379,002571.SZ
1380,603628.SH
1381,600557.SH
1382,688153.SH
1383,300630.SZ
1384,300474.SZ
1385,601399.SH
1386,688046.SH
1387,688105.SH
1388,601828.SH
1389,301363.SZ
1390,000058.SZ
1391,300681.SZ
1392,301200.SZ
1393,000783.SZ
1394,688205.SH
1395,002536.SZ
1396,603568.SH
1397,688377.SH
1398,688581.SH
1399,688711.SH
1400,000819.SZ
1401,002928.SZ
1402,600563.SH
1403,000828.SZ
1404,603766.SH
1405,301175.SZ
1406,603118.SH
1407,600388.SH
1408,688768.SH
1409,002600.SZ
1410,600251.SH
1411,000716.SZ
1412,600871.SH
1413,688269.SH
1414,688566.SH
1415,603890.SH
1416,688335.SH
1417,002464.SZ
1418,002574.SZ
1419,002048.SZ
1420,000958.SZ
1421,300906.SZ
1422,600210.SH
1423,603786.SH
1424,000825.SZ
1425,600382.SH
1426,300080.SZ
1427,002840.SZ
1428,600061.SH
1429,002607.SZ
1430,301315.SZ
1431,300921.SZ
1432,301150.SZ
1433,600452.SH
1434,600977.SH
1435,300114.SZ
1436,003040.SZ
1437,688017.SH
1438,603508.SH
1439,688319.SH
1440,603658.SH
1441,002640.SZ
1442,600668.SH
1443,000030.SZ
1444,688665.SH
1445,300207.SZ
1446,600310.SH
1447,603329.SH
1448,603042.SH
1449,601678.SH
1450,600415.SH
1451,601319.SH
1452,301387.SZ
1453,601231.SH
1454,600285.SH
1455,300472.SZ
1456,000789.SZ
1457,688556.SH
1458,600287.SH
1459,600158.SH
1460,600975.SH
1461,002344.SZ
1462,600107.SH
1463,002008.SZ
1464,600754.SH
1465,300525.SZ
1466,002511.SZ
1467,300258.SZ
1468,002115.SZ
1469,301106.SZ
1470,000786.SZ
1471,002470.SZ
1472,600742.SH
1473,688063.SH
1474,600695.SH
1475,300867.SZ
1476,688179.SH
1477,000839.SZ
1478,600832.SH
1479,002368.SZ
1480,688255.SH
1481,600297.SH
1482,300712.SZ
1483,601005.SH
1484,600881.SH
1485,600747.SH
1486,300855.SZ
1487,688432.SH
1488,301165.SZ
1489,600149.SH
1490,688627.SH
1491,002291.SZ
1492,601808.SH
1493,688129.SH
1494,600133.SH
1495,688590.SH
1496,600336.SH
1497,300558.SZ
1498,300322.SZ
1499,003022.SZ
1500,600226.SH
1501,600050.SH
1502,688661.SH
1503,600177.SH
1504,301262.SZ
1505,600588.SH
1506,688027.SH
1507,300015.SZ
1508,000667.SZ
1509,600309.SH
1510,600835.SH
1511,603005.SH
1512,688041.SH
1513,002057.SZ
1514,603698.SH
1515,600436.SH
1516,688121.SH
1517,688676.SH
1518,300109.SZ
1519,000022.SZ
1520,300010.SZ
1521,300898.SZ
1522,002168.SZ
1523,600118.SH
1524,300872.SZ
1525,688358.SH
1526,600652.SH
1527,301043.SZ
1528,688690.SH
1529,002054.SZ
1530,002153.SZ
1531,301051.SZ
1532,688050.SH
1533,600528.SH
1534,002706.SZ
1535,600381.SH
1536,603727.SH
1537,688569.SH
1538,600583.SH
1539,002321.SZ
1540,600086.SH
1541,688356.SH
1542,603719.SH
1543,688203.SH
1544,301036.SZ
1545,300147.SZ
1546,300926.SZ
1547,000860.SZ
1548,000657.SZ
1549,688065.SH
1550,300433.SZ
1551,601611.SH
1552,301282.SZ
1553,600978.SH
1554,688259.SH
1555,603319.SH
1556,000536.SZ
1557,600389.SH
1558,603308.SH
1559,301196.SZ
1560,603566.SH
1561,688311.SH
1562,688336.SH
1563,000959.SZ
1564,301178.SZ
1565,002935.SZ
1566,002545.SZ
1567,300998.SZ
1568,301468.SZ
1569,601702.SH
1570,688486.SH
1571,600755.SH
